Centroid Mass	S/N
2005.3720703125	5.74635553359985
2150.0205078125	27.1946220397949
2214.36938476563	11.0482959747314
2524.3759765625	11.0090885162354
2531.7041015625	21.9794082641602
2543.2119140625	16.7608814239502
2608.7451171875	13.1427907943726
2716.36157226563	11.4870290756226
2782.4921875	11.030294418335
2817.7080078125	15.6066083908081
2836.54321289063	6.00937938690186
2849.86889648438	31.9829483032227
2906.787109375	7.55895233154297
3018.08325195313	5.19368171691895
3118.4560546875	23.9150714874268
3140.98999023438	13.0330686569214
3229.6962890625	20.0255584716797
3259.76953125	20.3254280090332
3277.197265625	14.9070444107056
3431.55859375	11.3989458084106
3466.4697265625	6.96611022949219
3477.17993164063	6.12229204177856
3532.95336914063	20.2632617950439
3563.98510742188	14.0822896957397
3589.4267578125	6.4739875793457
3652.61987304688	11.446572303772
3667.22216796875	12.9124364852905
3691.24658203125	5.63058233261108
3711.31420898438	26.0282287597656
3776.35327148438	8.60845851898193
3812.01000976563	31.5882377624512
3819.31225585938	5.91535472869873
3862.81494140625	7.59882879257202
3917.154296875	81.8538665771484
3933.14379882813	5.54000520706177
3947.93115234375	5.95632028579712
4035.44604492188	20.9103317260742
4177.087890625	37.1405639648438
4309.0615234375	56.5495567321777
4363.1884765625	26.2615089416504
4376.5849609375	5.3179759979248
4417.08544921875	7.55307340621948
4437.4755859375	26.8620128631592
4475.82080078125	5.46516370773315
4529.26025390625	19.2803268432617
4581.3310546875	18.6025905609131
4598.60888671875	5.49158239364624
4637.13720703125	7.96299457550049
4675.01123046875	12.6537780761719
4687.47021484375	6.57461309432983
4714.14404296875	68.4038467407227
4727.23193359375	26.0983543395996
4874.92724609375	10.3808679580688
4904.55126953125	16.9522285461426
4952.07421875	25.5922031402588
4994.1708984375	22.9150733947754
5028.5908203125	20.3417015075684
5055.91064453125	27.099250793457
5069.5791015625	57.8248481750488
5092.34619140625	38.1549110412598
5109.23486328125	5.97040700912476
5149.09423828125	45.6340599060059
5201.32421875	26.2731132507324
5245.47216796875	10.9566631317139
5322.24560546875	19.7307357788086
5383.16748046875	57.0458946228027
5437.587890625	53.5015296936035
5483.37646484375	22.0931987762451
5643.05126953125	6.37343883514404
5667.75634765625	19.2480773925781
5705.00732421875	42.2127723693848
5719.69921875	11.3673896789551
5735.90478515625	8.45577144622803
5858.8291015625	14.8319129943848
5924.85986328125	20.5952262878418
5963.02294921875	11.1743927001953
6026.4365234375	9.05405139923096
6059.76171875	6.64025688171387
6202.333984375	6.55111837387085
6240.26513671875	46.1551246643066
6306.6552734375	9.26706695556641
6328.17041015625	7.46359252929688
6422.11279296875	8.26478290557861
6462.37548828125	47.0601119995117
6521.64990234375	46.574779510498
6558.072265625	28.764331817627
6622.96142578125	12.7876358032227
6656.72900390625	5.64205074310303
6704.650390625	68.6618347167969
6761.3837890625	11.4008502960205
6794.39306640625	11.9580125808716
6955.04443359375	15.9017963409424
7011.52197265625	13.8322925567627
7030.88037109375	17.3260726928711
7066.98974609375	49.3776931762695
7128.251953125	19.0918083190918
7165.873046875	12.0138282775879
7304.396484375	16.2964038848877
7332.6328125	5.721360206604
7388.68994140625	13.0261917114258
7425.30078125	77.4524230957031
7445.861328125	6.65328884124756
7462.80078125	5.9953441619873
7509.42236328125	5.05073261260986
7574.4130859375	8.55229568481445
7590.34716796875	6.24810361862183
7624.1630859375	41.0246200561523
7639.07958984375	8.47650051116943
7670.427734375	11.541675567627
7723.33935546875	9.55145168304443
7734.71923828125	6.45616245269775
7770.619140625	5.88143110275269
7797.95849609375	8.8455057144165
7834.9482421875	148.082916259766
7856.11181640625	9.40213394165039
7874.25341796875	9.79158782958984
7983.76416015625	20.6323909759521
8073.55126953125	99.6504440307617
8152.32177734375	8.88739585876465
8353.296875	47.7847328186035
8477.57421875	6.39560222625732
8536.703125	15.8140993118286
8639.8876953125	6.63360738754272
8725.564453125	34.9422836303711
8845.9921875	7.87991857528687
8888.158203125	18.8121337890625
8952.388671875	7.08042573928833
9053.2841796875	23.7962322235107
9090.974609375	8.63328838348389
9160.841796875	33.2579002380371
9198.1572265625	7.86085748672485
9348.931640625	11.3617153167725
9386.455078125	8.47907161712646
9426.560546875	101.371154785156
9450.458984375	28.3541107177734
9517.4248046875	7.04420328140259
9748.3134765625	9.92496395111084
9806.66796875	22.1446266174316
9986.4287109375	20.1901359558105
10055.7060546875	162.422225952148
10128.3349609375	12.3138799667358
10295.767578125	49.6380882263184
10400.4228515625	38.2873573303223
10487.767578125	17.0254859924316
10641.5302734375	10.0196304321289
10667.9921875	6.59316301345825
10723.9990234375	6.10336971282959
10768.546875	15.0279083251953
10863.921875	22.4951076507568
10882.73046875	12.0610466003418
10966.451171875	24.0649909973145
11191.3828125	14.8372602462769
11279.798828125	10.4196529388428
11333.12109375	18.6266841888428
11393.2763671875	6.1143741607666
11436.037109375	16.0724067687988
11715.6533203125	17.3271160125732
11841.1083984375	13.0129356384277
11917.7900390625	7.00935888290405
12045.0400390625	6.01253890991211
12610.3525390625	19.5251293182373
12669.57421875	6.99539709091187
13123.3583984375	7.33177471160889
13241.1416015625	10.5311288833618
13526.5908203125	9.56260871887207
13905.9384765625	13.9651336669922
14022.982421875	8.85550498962402
14059.6142578125	11.6588087081909
14329.9970703125	11.9650630950928
14851.474609375	37.2019844055176
15143.0634765625	9.00461006164551
15334.140625	5.07804012298584
15584.826171875	6.92186737060547
15976.2119140625	32.5640335083008
16140.3125	96.3854904174805
17074.392578125	9.60681819915771
17767.06640625	6.9126410484314
