node;isolate_number;strain;reference;node_color;OIU;OIU_color;OIU_node_line_color;node_line_color;node_line_width;node_size
S0742_D13_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0743_E14_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_B17_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_N24_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0743_I20_LINEAR_1;;LMG 11969;No; #80bf80;15;#80ffff;#000000;#000000;1;10
S0743_L11_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0743_G21_LINEAR_1;;R-49154;No; #15ae8c;20;#6dada4;#000000;#000000;1;10
S0743_J9_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_I10_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0742_A8_LINEAR_1;;LMG 7761;No; #8955f3;33;#8e4d0e;#000000;#000000;1;10
S0742_P4_LINEAR_1;;R-42874;No; #fae380;0;#f000ee;#000000;#000000;1;10
S0743_D2_LINEAR_1;;R-47313;No; #f64572;9;#ffff00;#000000;#000000;1;10
S0743_N8_LINEAR_1;;R-47313;No; #f64572;30;#35e9b6;#000000;#000000;1;10
S0742_B12_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_F13_LINEAR_1;;R-49154;No; #15ae8c;12;#fe4a81;#000000;#000000;1;10
S0742_B11_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_F14_LINEAR_1;;R-49154;No; #15ae8c;20;#6dada4;#000000;#000000;1;10
S0742_J19_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_E13_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_G8_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_M2_LINEAR_1;;LMG 11438;No; #0080ff;11;#86cf01;#000000;#000000;1;10
S0742_D14_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_J1_LINEAR_1;;LMG 16322;No; #0d7a2f;18;#5455f8;#000000;#000000;1;10
S0742_G7_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_A7_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0743_I2_LINEAR_1;;LMG 6906T;No; #00ff80;12;#fe4a81;#000000;#000000;1;10
S0742_K15_LINEAR_1;;LMG 7761;No; #8955f3;4;#390ca8;#000000;#000000;1;10
S0742_M1_LINEAR_1;;LMG 11438;No; #0080ff;11;#86cf01;#000000;#000000;1;10
S0742_O17_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0743_C12_LINEAR_1;;R-49154;No; #15ae8c;20;#6dada4;#000000;#000000;1;10
S0742_L9_LINEAR_1;;R-49154;No; #15ae8c;22;#ff0000;#000000;#000000;1;10
S0743_C1_LINEAR_1;;R-47313;No; #f64572;9;#ffff00;#000000;#000000;1;10
S0742_A11_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_P8_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0743_F13_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_A12_LINEAR_1;;LMG 11434;No;#00ff00;15;#80ffff;#000000;#000000;1;10
S0742_B22_LINEAR_1;;LMG 11495;No; #ff8000;9;#ffff00;#000000;#000000;1;10
S0742_B9_LINEAR_1;;LMG 11401;No; #d08a66;20;#6dada4;#000000;#000000;1;10
S0742_K4_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0743_E4_LINEAR_1;;LMG 11495;No; #ff8000;19;#096887;#000000;#000000;1;10
S0742_C14_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_O10_LINEAR_1;;R-47313;No; #f64572;9;#ffff00;#000000;#000000;1;10
S0742_P19_LINEAR_1;;R-49154;No; #15ae8c;22;#ff0000;#000000;#000000;1;10
S0742_M13_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_G23_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0742_C13_LINEAR_1;;LMG 12023;No; #e3ff05;21;#0000ff;#000000;#000000;1;10
S0743_H14_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
S0742_F6_LINEAR_1;;R-47272;No; #6b151f;25;#502543;#000000;#000000;1;10
