Centroid Mass	S/N
2010.22	23.4110308661307
2085.98	3.77987584833372
2104.16	3.29078923811307
2131.15	3.5482806494466
2176.8	6.62909199404956
2229.18	47.2164441729166
2240.36	3.76505919762061
2264.15	3.15721000483673
2341.32	73.6500822367766
2352.31	7.86277342861943
2385	4.92846458744739
2423.04	6.12356199611116
2514.69	6.53702098957828
2559.01	45.7817409694995
2571.47	4.72904194202627
2625	3.5273510075589
2792.41	4.21814135063769
2859.31	8.72951646025219
2887.72	4.96845549024436
3020.93	136.408205052159
3041.25	5.6958373075851
3062.16	8.96691618115057
3133.8	17.4782757363966
3213.78	14.0184235007172
3270.37	36.4598523794409
3400.46	18.9349482158629
3502.23	8.33026916070299
3582.8	29.464711849903
3596.98	4.47531276598151
3682.08	4.39069655068933
3700.49	9.26770043672054
3775.74	39.8680757474344
3802.55	7.42244927282769
3832.97	10.0857153401893
3952.89	59.4128646131742
3974.95	4.69607939091112
3990.49	3.36044538789636
4060.78	14.3609382741407
4124.39	3.2346032852368
4192.17	17.4118275121604
4271.64	13.2759694992031
4335.01	15.5315190077962
4429.05	6.77166742912492
4466.95	63.7110195245349
4487.86	3.46451208295475
4524.1	13.686955272739
4595.1	18.0819403244959
4690.62	92.3280958215538
4712.05	7.53144628781995
4729.62	4.78106174589304
4774.03	3.26553980956383
4823.24	47.0571073517547
5040.11	3.4566954038246
5125.22	89.963914157194
5141.51	17.2130104158368
5161.91	8.31423208782915
5255.59	36.2758845257273
5514.24	3.82557238766719
5704.44	55.4219771224363
5723.07	14.1772348105893
5750.34	23.987071006247
6045.84	247.33302805689
6066.49	20.1833242669982
6084.22	19.7178170711321
6106.42	11.8801918566057
6124.21	4.02874448013744
6146.49	3.35242544263843
6271.22	28.6609779925445
6290.75	3.47736780768033
6311.82	3.4336499469203
6490.05	6.51757207392894
6543.62	87.4045091681049
6564.35	7.10899937966679
6582.79	4.98449308464814
6642.93	36.7155856667364
6803.07	35.4504383104938
6825.77	4.49111353486464
6847.72	4.04293939972563
6975.42	5.14239744012764
7002.37	8.66982489019471
7165.98	60.5398925758061
7189.28	5.35930145054911
7199.74	11.5148525072284
7365.64	10.3186447368278
7401.49	22.5153915649113
7552.38	94.4675660863332
7574.65	8.077606007812
7617.64	3.65313024530463
7708.14	4.33406890243053
7824.32	3.46472321540945
7843.63	5.22458013298595
7913.51	6.02822061266661
8016.8	4.12901109095344
8117.33	41.2452642518433
8246.04	7.54564331045875
8296.09	4.67264959998364
8338.48	9.37748529276901
8383.59	60.4982535699629
8406.19	5.86219894982089
8668.3	65.4914760760045
8689.51	4.91331289481831
9045.13	62.764629624162
9067.7	5.61996488507443
9157.38	15.2212417379794
9187.38	82.6100227056211
9210.13	6.84489652873081
9492.8	4.15134231217594
9545.58	9.61944085328839
9600.37	4.85309571106425
9642.26	213.618322890078
9664.64	22.3388357236793
9704.81	6.9861614589317
9723.52	3.89417926115544
10140.69	5.04440588797609
10212.52	11.3723393592371
10278.82	35.8921885709919
10334.72	6.87367968592937
10508.21	44.8096595597965
10732.27	3.52323848662769
11403.54	46.3301360202916
11497.04	79.7276384250441
11555.16	5.26980975237587
11711.89	3.26628785499263
12012.93	6.83512703417718
12055.65	29.1782271677826
12083.83	5.77463918820541
12182.19	11.0886341677692
12327.31	3.07147926175284
12515.77	6.372847209257
12974.83	6.41958844795011
13279.66	55.432622017124
13690.17	8.09614210953785
13995.44	5.69433455827157
14397.47	8.72029438627677
15111.04	22.8008278159733
15202.34	5.72040223288692
15684.43	9.72217685602069
17297.38	5.1511874478911
18306.48	21.9403623224827
19282.29	6.29072712985282
