peak_location;start_window;end_window
2092.15;2041.81;2142.22
2092.58;2042.24;2142.66
2093.01;2042.67;2143.09
2093.45;2043.1;2143.53
2093.88;2043.52;2143.97
2094.31;2043.95;2144.41
2094.74;2044.38;2144.85
2095.18;2044.81;2145.29
2095.61;2045.23;2145.72
2096.04;2045.66;2146.16
2096.48;2046.09;2146.6
2096.91;2046.52;2147.04
2097.34;2046.95;2147.48
2097.78;2047.38;2147.92
2098.21;2047.8;2148.36
2098.64;2048.23;2148.79
2099.08;2048.66;2149.23
2099.51;2049.09;2149.67
2099.94;2049.52;2150.11
2100.38;2050.37;2150.55
2100.81;2050.8;2150.99
2101.25;2051.23;2151.43
2101.68;2051.66;2151.87
2102.11;2052.09;2152.3
2102.55;2052.52;2152.74
2102.98;2052.94;2153.18
2103.42;2053.37;2153.62
2103.85;2053.8;2154.06
2104.28;2054.23;2154.5
2104.72;2054.66;2154.94
2105.15;2055.09;2155.38
2105.59;2055.52;2155.82
2106.02;2055.95;2156.26
2106.45;2056.38;2156.7
2106.89;2056.81;2157.14
2107.32;2057.23;2157.58
2107.76;2057.66;2158.02
2108.19;2058.09;2158.46
2108.63;2058.52;2158.89
2109.06;2058.95;2159.33
2109.5;2059.38;2159.77
2109.93;2059.81;2160.21
2110.36;2060.24;2160.65
2110.8;2060.67;2161.09
2111.23;2061.1;2161.53
2111.67;2061.53;2161.97
2112.1;2061.96;2162.41
2112.54;2062.39;2162.85
2112.97;2062.82;2163.29
2113.41;2063.25;2163.73
2113.84;2063.68;2164.17
2114.28;2064.11;2164.61
2114.71;2064.54;2165.06
2115.15;2064.97;2165.5
2115.58;2065.4;2165.94
2116.02;2065.83;2166.38
2116.46;2066.26;2166.82
2116.89;2066.69;2167.26
2117.33;2067.12;2167.7
2117.76;2067.55;2168.14
2118.2;2067.98;2168.58
2118.63;2068.41;2169.02
2119.07;2068.84;2169.46
2119.5;2069.27;2169.9
2119.94;2069.7;2170.34
2120.38;2070.13;2170.78
2120.81;2070.56;2171.22
2121.25;2070.99;2171.67
2121.68;2071.42;2172.11
2122.12;2071.85;2172.55
2122.55;2072.28;2172.99
2122.99;2072.71;2173.43
2123.43;2073.15;2173.87
2123.86;2073.58;2173.87
2124.3;2074.01;2174.31
2124.73;2074.44;2174.75
2125.17;2074.87;2175.19
2125.61;2075.3;2175.64
2126.04;2075.73;2176.08
2126.48;2076.16;2176.52
2126.92;2076.59;2176.96
2127.35;2077.02;2177.4
2127.79;2077.46;2177.84
2128.23;2077.89;2178.29
2128.66;2078.32;2178.73
2129.1;2078.75;2179.17
2129.54;2079.18;2179.61
2129.97;2079.61;2180.05
2130.41;2080.04;2180.49
2130.85;2080.48;2180.94
2131.28;2080.91;2181.38
2131.72;2081.34;2181.82
2132.16;2081.77;2182.26
2132.59;2082.2;2182.7
2133.03;2082.64;2183.15
2133.47;2083.07;2183.59
2133.9;2083.5;2184.03
