Centroid Mass	S/N
2220.36	108.664014652785
2239.58	7.10603390542234
2258.43	4.44156171277121
2268.78	12.0777869055556
2278.71	14.8672336311762
2291.83	3.82729345736207
2322.74	7.25347440655101
2490.32	5.64751557296931
2513.04	3.44930840686108
2647.65	171.487707709654
2661.79	14.613516071463
2693.63	55.9664135889275
2758.87	3.15934871338949
2943.35	95.9272026168457
2956.72	5.69003142939727
2996.49	3.61707001928181
3031.84	10.5873936946069
3060.58	14.5276114751443
3130.64	17.8414162851892
3308.46	4.5710246022924
3373.59	3.36000669332923
3387.9	3.38496304788767
3407.78	54.4075501454304
3422.72	76.5878130806495
3436.58	3.88684627827914
3488.41	39.7545533966073
3606.86	4.31565874725201
3671.42	3.08004432108388
3739.45	65.3174522487564
3757.43	5.48092689075613
3774.28	30.3468703315738
3824.49	7.27168051796892
3855.01	14.4353769445775
3873.26	7.25712848892211
3884.47	6.86467480122112
4009.44	4.41415022844374
4082.95	11.3399217860669
4101.74	18.6214301056152
4206.15	31.9460505738778
4449.19	141.904911227347
4465.64	7.72126411324491
4487.19	8.05477048859378
4497.99	4.34397663762294
4525.36	3.22707340554673
4550.25	12.8180758609234
4593.18	29.1191094536604
4613.1	3.90407147905476
4698.45	48.7417731540681
4713.4	6.33087719759464
4763.63	4.25147085418608
4800.98	4.12823044948056
4893.35	3.89728095430769
5042.3	12.8663055212017
5085.47	4.30828322134453
5196.23	5.09685834926373
5229.77	3.83215905548263
5301.29	233.636721809389
5329.63	10.6848632562287
5339.32	22.5483087987443
5377.48	7.40576761962071
5392.79	61.4625997979626
5431.14	4.55865540439876
5505.44	3.54700760307594
5524.45	4.63544600359897
5616.42	9.85036530970022
5667.69	4.58680239582747
5801.94	3.60032342226702
5823.63	15.6433016483381
5849.7	8.46914504698697
5863.49	6.47441828314089
5891.11	256.333345126048
5929.01	21.2000876111004
5967.03	6.62957151504311
6038.29	3.68117179121917
6061.15	3.0557371037042
6074.44	4.69885242844621
6194.75	7.91757848474208
6431.32	4.83381846981122
6555.88	5.76196148188493
6618.23	8.05135270442635
6680.87	9.45177272255298
6750.04	6.41136060335167
6776.56	3.50471380328839
6818	115.369635533512
6847.01	73.3466232377219
6978.71	90.588995498979
6992.18	11.0953834637784
7016	3.77373646997586
7214.42	9.71094047881425
7232.16	6.74133823106466
7346.36	10.6284928304085
7385.44	3.67824250031828
7435.25	3.28113152772353
7479.49	155.825768671108
7518.1	11.4890500966706
7549.39	61.5040792768643
7575.79	3.55532991740689
7646.98	8.20038585739196
7710.16	22.5021121743085
7733.51	4.94009976971961
7910.56	3.59295904861092
8018.1	16.9965174836239
8187.22	4.1647377661502
8266.41	6.02084178819462
8342.51	3.82783424061862
8412.87	184.805881302835
8439	4.18059611844166
8452.08	4.21692368084847
8487.02	5.16823600690043
8996.33	20.3580378890007
9098.35	32.2493134113156
9185.48	75.0411451347142
9226.47	7.12842949030337
9353.65	3.78299994943187
9395.01	167.762105505975
9423.56	15.3131786852645
9469.7	3.84751694181801
9492.81	7.88550721693845
9525.21	12.8727082590585
9553.95	3.11930577589282
9598.55	5.81279999126992
10082.63	47.3845597301487
10168.62	33.7377918363539
10388.12	55.828981212777
10445.31	11.4440577637701
10601.18	5.46760516835971
10689.37	3.75407623375589
11228.23	127.539398132851
11271.56	4.10450055722261
11349.34	4.16372106242299
11375.67	3.09086480668795
11556.73	5.12838627899106
11603.76	12.0830631764317
12112.74	5.85183126905735
12275.37	4.69516709994427
12386.15	21.1942172522906
12860.17	3.60953004077479
12999.58	7.52183777219644
13311.34	3.0774665673049
13358.54	65.3675957151858
13399.21	3.44196757844053
13627.94	3.6783989977377
13800.48	4.0577214509832
14138.67	3.95686131731872
14280.33	3.77712651713614
14448.97	3.76199074645823
14693.43	5.44743972833303
15038.91	22.2310887061271
15465.21	17.6721385008221
15990	3.84502006854517
16374.78	3.84230048347332
16937.05	4.18423265740209
17780.65	5.58951640818617
