Centroid Mass	S/N
2111.33	6.03870665880522
2224.95	144.722352302991
2236.12	16.3252856460013
2366.34	5.78212071590859
2384.78	12.4756890516284
2421.41	14.5767096845271
2542.06	15.7569393157668
2563.09	14.7372759387326
2708.31	3.79549122414576
2806.69	3.079994316895
2860.59	5.16471198834139
2939.07	8.18053428045548
2959.62	222.350451072618
2971.48	2.53175517579945
3002.51	6.82535846321539
3172.89	26.9450634368739
3187.3	3.75564512926749
3211.39	9.53113642775739
3324.48	9.58185378478127
3338.13	38.8913934571605
3360.59	9.01119875064531
3553.72	21.3287515478502
3581.99	34.7579169120746
3637.17	42.2579041609392
3818.09	33.9665327391004
3847.98	26.8074244167792
4028.62	3.21844134533685
4214.04	8.74153426921375
4280.08	16.2894429803276
4293.72	8.98490301139418
4357.88	11.395939390208
4447.12	8.68908087148496
4458.5	354.784492666697
4480.03	18.541031947927
4506.7	11.8982870059549
4518.79	4.0105894205094
4782.98	18.8405394256092
4798.72	4.3837106181088
4819.08	83.1701315548715
4911.6	7.39625629642657
5008.35	86.371066422854
5045.97	41.221428714469
5244.42	3.79446735819122
5370.06	5.22637640374256
5388.82	4.0036841994583
5422.26	27.4220306568554
5444.62	4.79390141411725
5551.43	8.23042161834926
5630.08	4.41791982380208
5699.27	11.9929183954352
5881.74	24.4460764454427
5923.98	432.039028872326
5944.43	30.3327066179299
5961.98	17.2864314845833
5983.22	3.79155073326297
6177.62	4.65020521193863
6349.43	73.8757266908068
6369.84	6.97059687143219
6386.5	3.71469820073474
6527.44	8.73411988292997
6651.35	34.6428677662239
6679.22	120.747309746856
6700.16	7.09784754729215
6722.69	22.0181251339313
7109.87	53.3657110333605
7132.28	4.85061956141118
7152.32	9.27881215242188
7165.96	85.4062424615986
7187.65	7.06753061813195
7275.56	68.5924471170431
7296.61	4.89486993553665
7366.45	4.53551415074596
7636.72	99.3967828538878
7658.29	7.33797349355256
7697.35	84.0631578923242
7718.17	10.973902382116
7735.69	4.72257003843072
7757.39	3.5884895392373
7781.64	4.69143546236775
8054.3	19.9762608187378
8428.96	33.9485877855799
8560.14	63.6760511731263
8588.26	35.4740492120644
8608.5	3.84181998168149
8670.24	3.40645093909047
8715.36	19.2192931823883
9012.89	66.3836996124425
9036.33	4.63060845141902
9113.18	6.35335698722992
9565.38	55.3122975261269
9592.32	6.53560976163801
9637.93	117.811021412144
9659.38	7.31616709499213
9991.55	11.6764173807326
10016.24	98.7517640544342
10090.49	59.4576186407446
10112.44	5.91924090468497
10776.13	11.6913249825868
10884.85	4.99277748219535
11124.96	3.38424972592297
11256.59	7.52599026364182
11399.13	23.7799003868152
11630.51	3.58811890159311
12356.67	21.1647333113029
12424.36	11.6673667707352
13051.74	38.1833908162502
13207.47	12.0901489041156
13358.63	3.91775262763539
13975.34	11.0435952460925
14292.94	3.46387922291362
14731.61	35.4368954607027
14970.32	3.52064292504103
16109.5	23.0997721657713
16795.24	7.9157667681071
17289.59	4.1490930663749
18236.98	3.72798763742188
19096.57	4.69344465759902
