Centroid Mass	S/N
2076.03	6.47849302022031
2103.28	3.09106942819492
2132.45	18.8099805624862
2171.51	8.23082761309458
2178.13	4.82910856806611
2203.82	181.899604261494
2219.84	19.3840772949033
2225.64	7.58253129379429
2318.55	3.623399990595
2430.6	44.8938582871074
2452.58	7.06279472183211
2475.6	3.42756764907699
2590.38	3.71806164197337
2620.34	28.503723087571
2630.52	38.8512769155261
2652.41	5.57443994609458
2675.37	4.38160473678868
2732.96	8.91730688931458
2739.89	19.3183944300972
2805.18	3.68528488570367
2900.74	4.39245299509764
2932.44	6.74693464799171
2945.27	3.91011525406216
2973.08	5.23023345124601
2992.73	19.7892598116875
3015.56	3.34738094290006
3048.93	4.94471843897447
3077.75	12.3323983193438
3193.32	19.2323992577032
3215.3	3.90810578684027
3251.91	3.41540700099233
3412.05	7.16186335674051
3434.77	3.11820294178581
3516.84	23.1958959226258
3532.59	13.255330075049
3541.04	47.3176782030889
3606.14	4.50304024496358
3628.36	3.47516762299745
4077.97	4.0034876106787
4097.36	6.21538716169931
4160.06	3.63038943350502
4230.01	16.4014192534067
4272.63	7.812782602909
4366.04	63.6524938860046
4387.35	5.9066397993312
4578.94	6.39845694858672
4776.62	24.4381672809184
4844.32	18.4025894822925
5049.63	10.275018577555
5139.61	7.64440073718718
5162.06	8.5185102718974
5203.69	8.55963924690918
5246.86	109.424659538147
5264.73	6.39649801707558
5485.04	52.6988235980478
5506.12	6.25242742178327
5707.02	8.0921463790935
5867.87	82.5305882078595
5892.6	11.1107343807482
5910.81	4.29572041958213
6158.31	44.83057206022
6179.17	3.59225307587937
6433.73	9.57981483659823
6826.82	13.1729540668748
7036.12	115.979534386486
7066.39	12.2457473822868
7083.95	47.7968877999354
7104.73	5.00606552705071
7348.3	4.41589061249754
7479.02	3.47074923653179
8153.45	15.9799641526889
8257.48	6.39936393556824
8460.56	41.1411908319304
8543.72	12.1475332812942
9154.52	11.3046570971222
9551.23	42.1444013660823
9687.22	18.477929262581
10095.27	14.018432693349
10273.57	15.2960093794828
10322.74	37.3773553708474
12884.24	5.94116803925442
13609.76	3.62786138478476
